ai_detection,collaboration_rating,attention_check,play_again,strategy,cat_question,purpose,comments,file_id,room_id,game_class,ai_detection_cat,collaboration_rating_cat,play_again_cat
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,"I usually always went north, or west",True,Problem solving,,experiment_data_62b628e4351d179f1ff6cc59_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-54-33-741Z.xlsx,329a09b2-ad1f-4458-af0b-f7dd194297d1,human-human,Probably an AI,Very good collaborator,Definitely play again
Probably an AI,Neutral,Definitely blue,Not sure,"I would go to the nearest restaurant. When playing the other person, i would wait to see where they were going first and just follow them",True,i have no idea,no,experiment_data_651b249337102ada9fee4951_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-43-42-103Z.xlsx,9a6ddc72-01b2-432c-848d-7629f2ff5bd7,human-human,Probably an AI,Neutral,Not sure
Probably a person,Very good collaborator,Definitely blue,Definitely play again,"The only strategy was when new restaurants opened up, if they were closer I would reroute.",True,To analyze cooperation between random participants,,experiment_data_66338ea47f6b47399eb188ca_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-13-214Z.xlsx,9d17be6d-fd28-4858-bf25-10f159569d54,human-human,Probably a person,Very good collaborator,Definitely play again
Probably a person,Very good collaborator,Definitely blue,Not sure,,True,to see if we're more likely to think a collaborator is human if they perform well/help us to score points.,"the way that the last question was worded made me a little unsure of what the aim of the question was. It it was would you play with this player again I would have answered Definitely yes, but because it was 'will you' I had to answer not sure, as I have no idea if I will play with them again.",experiment_data_663a3ee80ab62f61353a10f0_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-53-32-389Z.xlsx,eb76ae37-255a-4cfa-a16b-78dc1b788aaa,human-human,Probably a person,Very good collaborator,Not sure
Probably an AI,Neutral,Definitely blue,Definitely play again,In the collaborative part of the game I would follow whichever restaurant they chose.,True,To see if people led or followed when working with a partner.,"I had a few issues in the second round where we collaborated by going to the same restaurant, but the game said we did not succeed. ",experiment_data_6646cdbd7a8e4d39556e459b_room_3f333c71-69b9-47d2-afa2-a8cdd8a7a34f_2025-09-12T16-48-15-511Z.xlsx,3f333c71-69b9-47d2-afa2-a8cdd8a7a34f,human-ai,Probably an AI,Neutral,Definitely play again
Definitely an AI,Very good collaborator,Probably blue,Definitely play again,I played a waiting game and moved when needed,True,My judgement of an AI bot in a game,,experiment_data_66854df2e5fef4239ff63a7d_room_7e03a0e9-c26d-4eaa-aada-b9088e8981fe_2025-09-12T17-05-12-863Z.xlsx,7e03a0e9-c26d-4eaa-aada-b9088e8981fe,human-ai,Definitely an AI,Very good collaborator,Definitely play again
Not sure,Very good collaborator,Definitely blue,Definitely play again,"I almost always went for the middle first and then picked a side. Once the restaurants started opening up later, I slowed down and changed course if it was quicker to get to a certain restaurant.",True,To see if people are willing to sacrifice speed for positive consequences for collaborating?,,experiment_data_66bce38cdb7f3309e448dc8d_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-58-749Z.xlsx,fc2813a7-4ebd-43fe-a958-ab321b8830f1,human-human,Not sure,Very good collaborator,Definitely play again
Probably an AI,Good collaborator,Definitely blue,Definitely play again,"The other player hesitated at the start, so I took initiative and went to the first restaurant and hoped they followed my lead.",True,Working together without having any communication.,No thank you.,experiment_data_66d0217be06f8783cc04f0a7_room_3058f602-8cd4-402d-96ff-5aa79525a18e_2025-09-12T16-47-43-178Z.xlsx,3058f602-8cd4-402d-96ff-5aa79525a18e,human-human,Probably an AI,Good collaborator,Definitely play again
Definitely an AI,Very poor collaborator,Definitely blue,Probably not play again,Just go to a restaurant and let the other player come after,True,to see what my strategy was,it said collaboration failed even when we went to the same restaurant.  It said it every single time but yet said I had 79% success rate,experiment_data_670c3a0b29d34e1201670dd1_room_aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5_2025-09-12T17-12-01-255Z.xlsx,aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5,human-ai,Definitely an AI,,Probably not play again
Not sure,Very good collaborator,Definitely blue,Definitely play again,just alternate who p[icked each direction,True,see if we could work together,,experiment_data_67364113bdafe2840fa05b69_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-28-192Z.xlsx,fc2813a7-4ebd-43fe-a958-ab321b8830f1,human-human,Not sure,Very good collaborator,Definitely play again
Probably an AI,Very good collaborator,Definitely blue,Not sure,"Closer retaurant, going toward center first; when playing with other player went slower to make sure they were heading in same direction.",True,,,experiment_data_675c64b95d8683943d557b71_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-42-53-414Z.xlsx,9a6ddc72-01b2-432c-848d-7629f2ff5bd7,human-human,Probably an AI,Very good collaborator,Not sure
Not sure,Very good collaborator,Definitely blue,Definitely play again,closest blue dot,True,collaboration,no,experiment_data_678f0bb28ec3307e4f1afb78_room_fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d_2025-09-12T16-54-35-519Z.xlsx,fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d,human-human,Not sure,Very good collaborator,Definitely play again
Probably an AI,Neutral,Definitely blue,Probably play again,no,yes,collaborating with fellow person to archive same goal ,,experiment_data_67d21364aa4dc87ecd8f3f1b_room_9891f74f-a030-43ed-b425-c8b99990e72d_2025-09-12T16-53-32-206Z.xlsx,9891f74f-a030-43ed-b425-c8b99990e72d,human-ai,Probably an AI,Neutral,Probably play again
